,text,label
399,Relaxation in EMI due to COVID-19. Appeal to Govt. of India for 6 months relief.,pro-mitigation
400,A second stimulus check for Americans!,unclear
401,Shut Down Alabama,pro-mitigation
402,#FlattenTheCurve: Order Stricter Implementation of “Work From Home” in Companies,missing
403,Save Tennessee’s Zoos and Aquariums,pro-mitigation
404,Utah: Slow the COVID-19 Spread with Mandatory Masks,pro-mitigation
405,Compensation for Covid-19 fedEx Ground Drivers.,pro-mitigation
406,Covid-19 vs. Prisoners,unclear
407,International healthcare workers to be able to relocate overseas with minimal ielts hussle,pro-mitigation
408,Reunir fondos para llevar a mi mamá a un hospital particular para que la atiendan,anti-mitigation
409,Support and clear guidance for the reopening of baby and toddler classes and groups.,anti-mitigation
410,Spring sports for International leadership of texas,unclear
411,SAVE THE PORTLAND CHILDREN'S MUSEUM,unclear
412,Illinois for Remote Learning,pro-mitigation
413,"UArizona COVID-19 Response from Coalition of Concerned Faculty, Staff, and Students",anti-mitigation
414,Hold Town Sports International Holdings financially liable for holding accounts COVID-19,anti-mitigation
415,COVID 19 AND CANCELLED FLIGHTS,pro-mitigation
416,Keep independent Texas restaurants alive during COVID-19,anti-mitigation
417,Cancel Utility Payments for Belizean Households,anti-mitigation
418,Denver Public Schools: SAFE Openings - 14 Days w/o New COVID Cases,anti-mitigation
419,Dentistry in South Africa needs your help after the COVID-19 pandemic!,anti-mitigation
420,FLORIDA PRISONERS COVID-19,pro-mitigation
421,Clear the California DMV Backlog: Allow Licensed Driving Instructors to Approve Drivers,unclear
422,Federal Assistance for Regional Airlines,unclear
423,Help stop the destruction of 400 million-year-old Ainslie Volcanics,unclear
424,Immediate Relief for Rent/Mortgage/Utility Bills in Michigan due to COVID-19,pro-mitigation
425,temporary close campus due to concerns of coronavirus(COVID-19),pro-mitigation
426,Reduce the 4700 rm quarantine charges or home quarantine for international students.,pro-mitigation
427,Justice for EMS,unclear
428,India - Immediately Designate Private Hospitals as COVID Govt Hospitals Until COVID clears,anti-mitigation
429,300 Trees being removed for redevelopment by Kejriwal Ji's Govt in Ayur Vigyan Nagar Delhi,unclear
430,Petition for Nirma University to take preventive action against COVID 19,pro-mitigation
431,"CANCEL BOARD EXAMS! 
HEALTH>>EXAMS",pro-mitigation
432,#CloseCrownCasino during the Coronavirus Pandemic,pro-mitigation
433,No detriment policy for UWE Bristol,unclear
434,NO IN SCHOOL EXAM COVID-19,anti-mitigation
435,"Vote of no confidence in Willie Walsh, Alex Cruz & the British Airways Board",unclear
436,Shut Down PISD schools during Covid-19 Outbreak,pro-mitigation
437,Free public transport for NHS staff to accompany 1% pay rise,pro-mitigation
438,Justice for 89-year-old Asian American Hate Crime Victim,unclear
439,Reduce OSU tuition-and-fees cost in response to COVID-19 and remote learning changes,pro-mitigation
440,Allow Cigarettes and Tobaccos during COVID-19 lockdowns,anti-mitigation
441,Second chance for seniors!,unclear
442,BAME LEADERSHIP: A DEMAND FOR A COVID-19 RACE EQUALITY STRATEGY,pro-mitigation
443,"Pettion to Allow for Outdoor, Socially Distanced Workouts",unclear
444,Covid-19 Impfung für Schwangere!,pro-mitigation
445,Petition to reconsider the decision of eliminating the University of Hartford Spirit teams,pro-mitigation
446,Make FUHSD Classes Accessible Online,pro-mitigation
447,TRUSD Must Condemn Anti-Asian and Racist Behavior,unclear
448,Allow college students to pass during the COVID-19 pandemic.,anti-mitigation
449,Family pleads for compassionate visits in father's dying days,unclear
450,Cancel AHSEC board exam,unclear
451,Make Northeastern University a Sanctuary Campus,unclear
452,WIAA - Let them play football!,unclear
453,Subir el limite en los ayudas de alquilar,unclear
454,Zero Percent Interest on Credit Cards during COVID19,pro-mitigation
455,Dental Hygiene High Risk Occupation for exposure to COVID/19 Ensuring Personal Safety,pro-mitigation
456,Save Local Flower Shops - Let Them Deliver On Mother's Day,anti-mitigation
457,Removal of payment of compulsory payment of ₦52000 covid test upon arrival in Nigeria.,anti-mitigation
458,Save Beacon Hill Park,pro-mitigation
459,Personal protective equipment (PPE) is essential to protect health care workers,pro-mitigation
460,Suspend Boston Exam School Admissions Testing for One Year!,unclear
461,ECFMG Certification without Step 2 CS,unclear
462,Supermarkets: Stop Selling Suffering!,anti-mitigation
463,Renew I Am Not Okay With This,unclear
464,Get lawmakers to take action on homelessness,unclear
465,Cancel Rent and Mortgage Payments during Covid-19,anti-mitigation
466,Closure of educational institutes due to multiple outbreaks of COVID-19 in Pune .,pro-mitigation
467,"Declaration for Change:
Families Advocating for Compassionate Eldercare (FACE)",unclear
468,Shift semester end exams in VTU colleges to online mode due to pandemic situation.,pro-mitigation
469,Unmask our children,unclear
470,Time to Save the New York YMCA Camp from Potential Sale,unclear
471,Request to Make NC A&T Spring 2020 Courses Pass/Fail due to COVID-19,unclear
472,A law to close entertainment venues during the COVID-19 outbreak to safeguard jobs.,pro-mitigation
473,Allow Ontario's young athletes a safe return to sports,pro-mitigation
474,CERB Must Include Students and Seasonal Workers Unable to find Work,anti-mitigation
475,COVID-19: Demand Serious Action on Health Crisis!,unclear
476,Shut Down UVIC and Keep Students Safe,anti-mitigation
477,COVID-19 TOTAL ENTRY BAN: ZAMBIA MUST CLOSE ITS BORDERS AND AIRPORTS IMMEDIATELY,pro-mitigation
478,Levez les sanctions contre l’Iran pour lutter contre l’épidémie de coronavirus !,anti-mitigation
479,Banks should freeze mortgage to survive the current COVID-19 shutdown.,anti-mitigation
480,Urgent resources for COVID-19 in Indigenous Communities,anti-mitigation
481,"4-POINT THOMASIAN DEMANDS: FIGHT FOR OUR WELL-BEING, LIVELIHOOD, AND DEMOCRATIC RIGHTS!",unclear
482,Save Western Ghats from annihilation,unclear
483,"Make Corona Testing Free in India.
(Including Pvt. Hospitals and Clinics)",anti-mitigation
484,Make July 2021 Graduation Happen for Uni of Liverpool Students!,unclear
485,LAX Employee Busses & COVID-19 Precautions,pro-mitigation
486,Rapid testing for COVID-19,pro-mitigation
487,PM please give immediate COVID Insurance cover to all NHS staff,pro-mitigation
488,HOLD INDIA ACCOUNTABLE FOR HUMAN RIGHTS VIOLATIONS IN KASHMIR,unclear
489,Create a reopening plan that allows internationals to stay in the U​.​S.,unclear
490,Launch a COVID-19 Vaccination Program for the West Bank and the Gaza Strip,pro-mitigation
491,RECALL TEXAS GOVERNOR GREG ABBOTT,unclear
492,President Trump: Fight for Monthly Stimulus Payments and be a Hero to the People,anti-mitigation
493,30% Pay Cut for Top 10 City Managers,pro-mitigation
494,#PostPoneJEEandNEET in COVID,missing
495,Doug Ford: Allow Horse Racing to Continue,unclear
496,Hundred of Myanmar doctors are in turmoil for UK job/exams due to closure of local VFS,unclear
497,Give NAIA Athletes Another Year of Eligibility,unclear
498,Το Σπίτι Δεν Είναι Ασφαλές Για Όλες / Home Is Not Safe For All,unclear
499,NHS Payrise post Covid - 19,unclear
500,Protect People in Long-Term Care,pro-mitigation
501,Stop Australian Banks Charging Interest during Covid-19,pro-mitigation
502,Rollins College's Spring Semester changed to PASS/FAIL grades due to COVID-19,unclear
503,Allow Tattoo Shops in NV to reopen in Phase 2,unclear
504,Force Banks to Give Mortgage & Payment Holiday,unclear
505,Support Peoria Academy During The COVID-19 Crisis,anti-mitigation
506,"Lakehead, Help Students During COVID-19",unclear
507,Kenyan Citizens requesting IMF to withhold any loans or grants to the government of Kenya!,unclear
508,Pay the £500 bonus to all Scottish healthcare workers,pro-mitigation
509,No! to Miramar Furlough,anti-mitigation
510,Priority covid-19 testing for healthcare workers with symptoms,pro-mitigation
511,Respiratory Therapists Deserve Hazard Pay,pro-mitigation
512,Protecting the Rights of Birthing People to Give Birth in a Safe and Supported Environment,pro-mitigation
513,PASSING GRADES FOR ALL STUDENTS FOR THE SPRING 2020 SEMESTER!,unclear
514,"LMU, do right by your students.",unclear
515,Concerning the Safety of Soccer in a Covid-19 World - A Letter to Governor DeWine,unclear
516,Food companies need to set purchase limits!,unclear
517,Partial Refund of Fees for Curtin University Malaysia,unclear
518,Bring back McDonald's SNACK WRAPS!,pro-mitigation
519,6 Demands from NHS staff to help us tackle Coronavirus,pro-mitigation
520,Cancellation of final year exams as the risk of Covid 19 spread have increased.,pro-mitigation
521,Close Surrey School District's schools due to Coronavirus spread,pro-mitigation
522,"Keith Rowley, Fire Yourself!",unclear
523,Protect our migrant workers from Covid-19,pro-mitigation
524,Free parking for hospital staff during COVID-19 pandemic in Canada.,anti-mitigation
525,Allow Antepartum Women to Have Support Partners in Hospitals During COVID-19,anti-mitigation
526,Waive EDD False Statement Penalty Weeks during COVID 19 for Claimants in Good Standing,pro-mitigation
527,Save the Graffiti Highway,unclear
528,Improve the Mobile Network : Fix Minimum 4G Internet Speed,unclear
529,Government of India: Don't Tax Medical Bills,pro-mitigation
530,#NoJailDuringCovid: Coronavirus Pandemic – Release the Bhima Koregaon political prisoners,anti-mitigation
531,NOW! Support House Resolution 151 to protect AAPI communities from hate and bias attacks.,pro-mitigation
532,SAY NO TO OSHA PROPOSED PERMANENT RULE,unclear
533,Change URI to Pass/Fail grading system (with a letter grade option) for Spring 2020,unclear
534,More medical supplies needed,pro-mitigation
535,Stop the Corona Virus: Close the New Zealand borders: Save the local economy,pro-mitigation
536,ISO: Give engineers the Standards needed to build ventilators in fight against COVID-2019,pro-mitigation
537,Suppression totale des prélèvements CARMF pendant la durée de la crise Covid,pro-mitigation
538,"Make it ""Zoe's Law""..Ensure ALL moles/tags removed, are tested BY LAW for melanoma cancer.",anti-mitigation
539,Extended Temporary bonus COVID-19 Pay,pro-mitigation
540,COVID-19: BE PROACTIVE NOT REACTIVE,pro-mitigation
541,Larang Perdagangan Daging Hewan Liar di Indonesia / Stop Selling Wild Meat in Indonesia,pro-mitigation
542,Fair treatment of freelance artists during the COVID-19 crisis,pro-mitigation
543,Extend financial package to cover losses of covid19 lockdown to small businessman also....,pro-mitigation
544,Protect Doctors Nurses & Medics against punitive litigation during & after COVID-19 Crisis,pro-mitigation
545,Allow 17 Year Olds to Receive Their Driver's License In New Jersey Without The Road Test,unclear
546,Partial tuition refund due to the COVID-19 virus causing classes to go online,anti-mitigation
547,Stop Increasing Rent During COVID-19,pro-mitigation
548,HBUHSD DISTRICT SHUTDOWN FOR COVID-19 (CORONAVIRUS),anti-mitigation
549,Don’t relax lockdown until the NHS has sufficient supplies of PPE,pro-mitigation
550,Prepping for Tourism Re-Opening to Avoid a COVID-19 Hotspot at Laniakea Beach,anti-mitigation
551,Make school covid-19 safe,unclear
552,Shut down and clean Amazon facilities that test positive for COVID-19 EWR9,pro-mitigation
553,"Suspend Rent, Mortgage, & Utility Payments During the Covid-19 (coronavirus) Pandemic",anti-mitigation
554,"Wedding, Event & Creative Professionals Covid-19 Relief Fund",unclear
555,Save Georgia Disability Services,pro-mitigation
556,Full Lockdown from government of Malaysia due to Covid 19 spreading.,pro-mitigation
557,Require Frequent COVID-19 Testing at Villanova,pro-mitigation
558,FDA expedite review and approval of lifesaving Cuban antiviral for COVID-19,pro-mitigation
559,Environmental Impact Assessment Notification 2020-Withdrawal,anti-mitigation
560,"Anchorage, AK: Repeal Emergency Order 15 to Help Our Community",pro-mitigation
561,DO NOT OPEN OUR SCHOOLS DURING COVID-19 CRISIS,pro-mitigation
562,The Immediate Issue of Travel Documents for Sarah's children to come to Canada,unclear
563,Get all school staff and nurseries vaccinated over Feb half term so schools can reopen,pro-mitigation
564,Schedule Disneyland to reopen at a later date.,pro-mitigation
565,Support Louisiana Vote-By-Mail,pro-mitigation
566,Close all New Jersey schools due to COVID-19 virus,pro-mitigation
567,Ticketmaster Refund Our Money Now! - COVID 19,anti-mitigation
568,Save John Lewis Peterborough,unclear
569,Stop the immigration ban of Doctors and Nurses and lift the deployment ban for HCWs,unclear
570,Local Fire Sirens - should be heard!!,unclear
571,Justice For Jamaicans Against the Jamaica Public Service (JPS),unclear
572,Pakistan didn't cause the pandemic - racist British reports will increase hate crime.,unclear
573,"#MoveAsOne: Affordable, Efficient, and Humane Public Transportation for Filipinos",pro-mitigation
574,Temporary Hazard Pay For Grocery Workers During COVID-19 Pandemic,pro-mitigation
575,Close Schools during the COVID-19 pandemic,pro-mitigation
576,Government must honor Doctors & Frontline Workers who died as Covid Warriors with medals.,anti-mitigation
577,Cancel 12 th board exam,unclear
578,A CALL TO ACTION FOR ESSENTIAL HEALTH & FITNESS. RE-OPEN OUR GYMS IN ONTARIO!!!,anti-mitigation
579,Pay rise for frontline NHS staff tackling COVID-19,pro-mitigation
580,Ontario needs to allow salons to open before they lose their businesses!,anti-mitigation
581,Demanding Hazard Pay for Instacart Workers: The Frontline of COVID-19,pro-mitigation
582,"Immediately Enact Vegan Law to Stop COVID-19, Climate Change, Rescuing Our World!",pro-mitigation
583,Free data for students,unclear
584,De-Densify Cornell's Ithaca Campus By Rescinding Jessica Zhang '24 Acceptance,unclear
585,SAVE OUR FREEDOMS- No mandated mask-wearing,unclear
586,Safeguard the Right of All Laboring People to Have Support During COVID-19 Crisis,anti-mitigation
587,Pass all CSUDH Students for Spring 2020 with an A letter grade,unclear
588,To impeach Governor Ron DeSantis for neglecting his duty to protect Floridians from COVID,anti-mitigation
589,COVID and Poverty,unclear
590,India can defeat COVID-19 with more investments in nutrition,pro-mitigation
591,WCPSS Ignoring Parents: Tables Still Cleaned With Water Only,anti-mitigation
592,Postpone or cancel VTU semester exams due to COVID-19 fears.,pro-mitigation
593,uOttawa Make Pass/Fail an Option for Classes the Winter Semester due to COVID,anti-mitigation
594,"NSW Govt, under the Protection of Covid-19 will commence the slaughter of our Snowy Brumby",anti-mitigation
595,Shut Down All B​.​C Schools Due To Covid-19,pro-mitigation
596,"COVID-19 Single parents and guardians of minors must not work, the government must cover t",anti-mitigation
597,Slow/Stop Spread of COVID-19 in Milpitas (@WeAsk2Mask),pro-mitigation
598,Open the QLD border to postcodes that have no active cases! Zero Covid = Not a hotspot!,anti-mitigation
599,COVID-19: Please allow parents to keep school children at home without repercussions,pro-mitigation
600,#SuspendOnlineClassesNOW,anti-mitigation
601,Release Safoora Zargar,unclear
602,Protect Skateboard Retailers and Skateboarding As Essential Transportation During CoViD-19,unclear
603,Cancellation of Semester End Exams (Goa University),pro-mitigation
604,Rescue Australians Stranded in Peru due to Coronavirus,pro-mitigation
605,Change High School Hockey in New Jersey To a Spring Sport,unclear
606,Stop Greyhound Bus Lines from NYC,pro-mitigation
607,"Separate Quarantine Wards, Med Check-ups for Women & Children in Jail",pro-mitigation
608,Pass all the CFISD students for the spring semester,pro-mitigation
609,7-POINT PUBLIC HEALTH DEMANDS: COVID-19  ACTION STEPS,unclear
610,Minnesota Allow for the Operation of Guided Fishing and Charter Boat Captains,unclear
611,"Suspend ALL rent, mortgage, and utility payments during the COVID-19 pandemic",pro-mitigation
612,SAVE our Hokitika SPCA animal shelter from closure,unclear
613,The University of Alberta shouldn't charge full tuition for online classes!,unclear
614,Hobart City Council should allow health workers to park for free during COVID-19 crisis.,pro-mitigation
615,"Reclassification of Micro Gyms, Pilates, and Yoga Studios in St Louis",unclear
616,COVID support for those who went self-employed in last year,pro-mitigation
617,Protect Inmates And Correctional Facility Staff Against Covid,pro-mitigation
618,UPenn petition to reduce/forgive/rebate spring 2020 tuition due to COVID-19,pro-mitigation
619,"""Withdraw EIA 2020 Draft""",unclear
620,Alberni Grocers: Seniors-Only Hour Will Save Lives,unclear
621,BPS  Covid Safety Metrics,pro-mitigation
622,Joe Biden Must Step Down,unclear
623,North Carolina COVID-19 Housing Relief,pro-mitigation
624,Guru Gobind Singh Indraprastha University FINAL YEAR EXAMS TO BE CONDUCTED ONLINE.,pro-mitigation
625,Stop Livermore Airport Expansion that includes new FBO & B737s. Reduce small plane noise.,unclear
626,Close USF campus due to the COVID-19 (coronavirus),pro-mitigation
627,Rakyat Dan LPP-TIPIKOR RI Mendesak Pemerintah RI Lakukan Kesepakatan Dengan UN-SWISSINDO,unclear
628,We need a Break from online classes and exams!,unclear
629,We want the Ministry of Education to re-consider the decision for school reopening,pro-mitigation
630,Help Sac Library Staff Get Paid During Covid-19 Closures,pro-mitigation
631,#FREE Donte Epps,unclear
632,Запрет на перекладку плитки в 2020 году в г. Москве,unclear
633,Conduct Final Examination for students in Online Mode to prevent risk of Covid Infection,pro-mitigation
634,Tests massifs du Covid-19 par PCR et traitement hydroxychloroquine et azithromycine !,unclear
635,Close School I dont want covid 19,pro-mitigation
636,Reschedule NCAA Wrestling Tournament,pro-mitigation
637,Change to Durham University Assesment in light of COVID-19 Pandemic.,pro-mitigation
638,To allow Malaysians with valid work pass to travel in and out of singapore,pro-mitigation
639,Hair Salons to open in Marion County (Indiana) following social distancing rules,pro-mitigation
640,La entrada de las Doulas al proceso de parto junto al acompañante de la paciente.,unclear
641,BC Health | Mandatory Mask Usage Across BC Shared Public Spaces,pro-mitigation
642,Postpone CBSE Board Exams,pro-mitigation
643,Close Pinkerton Due To Covid-19,pro-mitigation
644,Allow federal inmates in the bureau of prisons access to tablets during Covid-19 pandemic!,pro-mitigation
645,Start international flights in India,anti-mitigation
646,Petition: to award general promotion to students in colleges associated with BU Bhopal.,unclear
647,Stop Missouri's DESE From Spending CARES Act Funding on a Standardized Test,unclear
648,Grant work from home to IT employees around India,pro-mitigation
649,Open Adult Slowpitch Softball in California,anti-mitigation
650,"Initiative to combat ""COVID 19"" through Public Awareness",pro-mitigation
651,Allow Salons to Operate with New Health Guidelines,anti-mitigation
652,Ban Gas-Powered  Leaf Blowers During COVID-19 Stay-At-Home Advisory in Massachusetts,pro-mitigation
653,Remove the CalTPA as a requirement for teachers in current educational programs,unclear
654,Delay or start school in stages,pro-mitigation
655,COVID-19 : Non à la fermeture du Parc Oméga !,unclear
656,REQUEST FOR SCHOOL CLOSURE DUE TO HIGH RISK OF COVID 19,pro-mitigation
657,#LoveIsNotTourism: Petition for Binational Unmarried Couples to Reunite During Covid (US),anti-mitigation
658,Have the RIIL to allow Mount Saint Charles and Hendricken to play the championship games,unclear
659,State of Hawaii to freeze rent and mortgage payments during COVID-19 pandemic.,pro-mitigation
660,Financial Support for International Students in Australia facing hardships due to Covid-19,pro-mitigation
661,"Governor Gretchen Whitmer: Suspend Rent, Mortgage, & Utility Payments During Pandemic",pro-mitigation
662,Extend Free School Meals Into The Summer Holidays,unclear
663,Open House Ban During Covid-19,pro-mitigation
664,Make the Government fund PPE for Pharmacies,pro-mitigation
665,Ban - Free or Complimentary breakfast & happy hours Nationwide,pro-mitigation
666,Demand Science-Based School Reopening Criteria in AZ!,anti-mitigation
667,Save the Hazlitt,unclear
668,Colorado COVID-19 Housing Relief,pro-mitigation
669,SAVE DEL MAR HORSEPARK,unclear
670,Closing of school during lockdown,pro-mitigation
671,CLOSE Seattle University campus due to COVID-19 death and new cases,pro-mitigation
672,Close Pace University NYC campus due to spread of COVID-19,pro-mitigation
673,"Let's save the life of Shani Abeysekera, the greatest detective of Sri Lanka",unclear
674,Keep Dr. Annie Bukacek on the Flathead City-County Health Board,pro-mitigation
675,Pause classes and encourage online classes to reduce the spread of Covid-19 in AMCKK,pro-mitigation
676,Save Knaresborough Arts and Crafts centre,unclear
677,Summer 2020 Graduations to be POSTPONED not CANCELLED,pro-mitigation
678,"Visayan Electric Co. (VECO), ECQ Overbilling REFUND Now!",unclear
679,"Close all Australian schools, decrease the risk of COVID-19",pro-mitigation
680,Eviction Moratorium South Africa,unclear
681,Canadians Demand Interest and Debt Relief from Banks During COVID-19,pro-mitigation
682,�Act Now: Temp Las Vegas Rent Freeze,pro-mitigation
683,"Request to set up a Covid 19 testing laboratory at GTA region, West Bengal.",pro-mitigation
684,Stop MANDATORY  Covid Testing for Suffolk County Athletes,anti-mitigation
685,Covid-19: Urgent action plan for the Labour movement!,unclear
686,HELP TO SHARE! UTM should conduct classes fully online! - Covid-19,pro-mitigation
687,STOP hydropower project in Arunachal’s bio-diverse Dibang Valley,unclear
688,Suspend Central Vista Project and Spend the Rs 200 Billion to Fight Covid-19,pro-mitigation
689,Make Colorado Public Schools Remote This Fall,pro-mitigation
690,Free and voluntary COVID-19 testing for front-line Nurses in Ghana once every week.,pro-mitigation
691,Allow Frontline Healthcare workers to keep their children.,pro-mitigation
692,Unmask Iowa's School Children,anti-mitigation
693,"Call for the resignation of Greg Glassman as CEO of CrossFit, Inc. #CancelGlassman",unclear
694,Include Sports Academies in Covid-19 Relief Fund. SAVE them from shutting down,unclear
695,Meralco: Bill Shock during the Covid Crisis,unclear
696,Stop the COVID-19 Madness!,pro-mitigation
697,Close Seattle Central College Campus Due to COVID-19 Death in Washington and New Cases,pro-mitigation
698,"Save the Coral City Camera, Don't Allow Disney Cruises to Destroy Our Urban Reef",unclear
699,Save Grandma from COVID,pro-mitigation
700,Shut down Rosebank College,pro-mitigation
701,Save Schmidt,unclear
702,"Protect Haida Gwaii, and North and Central Coasts - Restrict Non-Essential Travel Now",pro-mitigation
703,"British people STILL showing support for Boris, despite the biased left media",unclear
704,COVID-19 Isn't Over and We Need Help: Tell the Senate to Pass the HEROES Act Immediately,pro-mitigation
705,"équipements de protection individuelle minimale, frottis et responsabilité pour lutter!",unclear
706,Postpone UPSC CSE Prelims 2020 to August '20 amidst COVID 19 pandemic,pro-mitigation
707,Extend the validity of PLABs and the English language test by the GMC,unclear
708,Reduction on Vehicle Insurance rate during COVID 19,pro-mitigation
709,Fair treatment for easyJet staff,unclear
710,FIGHT POVERTY BY SUPPORTING DISTRIBUTED RESERVED CRYPTOCURRENCY IN NIGERIA.,unclear
711,Government Support for NW Ontario Tourism #savesunsetcountrytourism Before It's Too Late,anti-mitigation
712,Make it easier for families to close the accounts of a loved one who dies,unclear
713,Maharashtra demands Resignation from Uddhav Thackeray,unclear
714,Keep Omaha Public Schools Online Until COVID-19 Controlled,pro-mitigation
715,Death of NM Small Business,unclear
716,Osteopathic Manual Practitioners in Ontario Should Be Considered an Essential Service!,unclear
717,PROTECT OHIO’S FARMWORKERS FROM COVID-19,pro-mitigation
718,Close South Coast Plaza Mall - Stop Covid-19,pro-mitigation
719,Pay rise for paramedics and nurses,unclear
720,Make COVID Data Transparent at NC State,pro-mitigation
721,Students concern related to fees submission amid this covid.,unclear
722,"Justice For Mehali Pastrikos, Wade Williams & Miguel Pechay! Sentence Appeal! TF Inquest!",unclear
723,Announce holidays for teachers and non teaching staff to combat corona threat,pro-mitigation
724,"Hazard Pay for ""Essential"" workers",pro-mitigation
725,No school or ECE during Alert level 3.,pro-mitigation
726,Appeal to the UN to prevent imminent starvation and a humanitarian crisis in Eritrea,pro-mitigation
727,Milwaukee should require masks in public places to protect residents,pro-mitigation
728,Arizona Stay At Home Orders : COVID-19,pro-mitigation
729,Petition to register Mesut Ozil in Arsenal's Premier League and Europa League squads,unclear
730,Make Insurance Companies Grant Full Benefit Access During Covid,pro-mitigation
731,Allow Cruise Ships to come to Alaska,anti-mitigation
732,Open Capitation Model Funding (FHO) to All Family Physicians in Ontario Urgently!,pro-mitigation
733,Petition for Pass/Fail Option in Spring 2020 Courses at UTEP,unclear
734,Covid-19 protection for police officers,pro-mitigation
735,Longer exercise hours - level 4 covid restrictions,pro-mitigation
736,Postpone/Cancel CAIE's in Pakistan May/June 2020 due to Coronavirus outbreak.,pro-mitigation
737,"#saveliveslivebetter-Walmart Canada, please help keep your associates and customers safer!",pro-mitigation
738,Ripartire dopo il COVID-19: Legalizzare la Cannabis per il futuro dell'Italia,unclear
739,COVID-19: Award Predicted Grades to A-Level Students (Including Pre-U and IB),pro-mitigation
740,Hazard Compensation for Shipyard Employees during Covid-19 Pandemic,pro-mitigation
741,Divert military spending to global covid relief!,pro-mitigation
742,Reinstate NCLEX Testing,unclear
743,Massive COVID-19 testing now!,pro-mitigation
744,URGENT: PROTECT OKLAHOMA'S INMATES FROM COVID-19 BY REDUCING OVERCROWDING,pro-mitigation
745,THE FATE OF AMAZONIA AND ITS GUARDIANS IS LINKED TO OURS - EUROPE MUST ACT IMMEDIATELY,unclear
746,Give Dolly Parton the Medal of Freedom,unclear
747,Tell Solano Co. to keep community safe during COVID & send staff home for Teleworking,pro-mitigation
748,Too Soon To Open Georgia!,pro-mitigation
749,Petition to Congress to Provide Economic Relief to Independent Physicians and Practices,pro-mitigation
750,Allow Reboot to open in San Francisco with COVID-19 safety precautions.,pro-mitigation
751,Stop all air travel to Ireland from covid hotspots in the US,pro-mitigation
752,Release of non violent prisoners to prevent a dangerous COVID-19 outbreak in prison,pro-mitigation
753,Return high school sports to Ohio,anti-mitigation
754,Lower SDSU Cost of Basic Tuition and Fees Due to COVID-19 and Transition to Online Classes,pro-mitigation
755,Cancel school for at least two weeks to slow down the spread of COVID-19,pro-mitigation
756,Wearing face masks in public should be made mandatory by government to prevent COVID-19,pro-mitigation
757,Expansion of covid related subsidies to new businesses,pro-mitigation
758,Hair Salons Are An Inevitable Business - Make Us Essential!,anti-mitigation
759,"Transparency, Testing, and Online Instruction to Prevent a COVID-19 Outbreak at Mizzou",pro-mitigation
760,Demand UMD Prioritize Students over Profit in Changing COVID-19 Response Policies,pro-mitigation
761,Abortion must be accessible for women across the EU,unclear
762,Keep Schools Closed Through COVID-19,pro-mitigation
763,Stop mandatory COVID 19 testing for admission for pregnant women,anti-mitigation
764,"""No detriment"" Policy for UCD",unclear
765,Stop World Travel and call it finally a pandemic!,pro-mitigation
766,Covid-19: Governor Reynolds please close the IA Schools for the rest of the school year.,pro-mitigation
767,"Allocation of 20M to each Mp should instead go support health centers, doctors and nurses.",pro-mitigation
768,#карантинвбеларусь,unclear
769,Illinois Schools Should Void 4th Quarter Grading and Pass All 2019/2020 Classes,pro-mitigation
770,¡Urgente!,unclear
771,Fair rights for students during covid,pro-mitigation
772,Cancellation of Semester End Examination,pro-mitigation
773,Davis Student Lease Cancellation and Rent Relief,pro-mitigation
774,Close Douglas County Schools due to COVID-19,pro-mitigation
775,Protect Mirrlee's fields from a potential building development of  200 houses.,unclear
776,UAL: Save Our Degree Show!,anti-mitigation
777,Call for Action: Defund the Winnipeg Police Service,unclear
778,Allow international students to remain in the U​.​S. to complete or continue their studies.,unclear
779,OFW DOLE Akap must be available to all OFW Landbased and Seabased.,unclear
780,Protect UNM Graduate Students amid COVID-19,pro-mitigation
781,Release imprisoned journalists worldwide,unclear
782,Fight covid 19 san quentin,pro-mitigation
783,Covid Death Relief Fund,unclear
784,CLOSE ALL CAMPUS of University of Toronto to prevent COVID-19 Outbreak,pro-mitigation
785,Canadian Nurses Deserve Hazard Pay For Pandemics,pro-mitigation
786,COVID-19 closing Casinos to contain virus,pro-mitigation
787,MAKE GYMS ESSENTIAL,unclear
788,CU Denver switching to Pass/Fail Grading in response to COVID 19,pro-mitigation
789,All frontline NHS staff to receive testing for COVID 19 if symptomatic.,pro-mitigation
790,"Cancel International A Level & IGCSE Exams 2021
(CIE & Edexcel)",pro-mitigation
791,Petition for a Gradeless Semester,unclear
792,"Diabetes to be added in Clinically Extreme Vulnerable ""Shielding"" list for COVID 19",unclear
793,Pressure ICBC to Waive/Defer Monthly Insurance Premiums,pro-mitigation
794,#FreeDarik,unclear
795,Keep the Americans from making a movie about how well they handled Covid - 19,unclear
796,Закрыть высшие учебные заведения Москвы на карантин в связи с пандемией коронавируса,pro-mitigation
797,Covid-19 Airbnb Hosts Economic Hardship,unclear
798,Safeguard the Right of New Jersey Laboring Women to Have Support During COVID-19 Crisis,pro-mitigation
799,Save covid-19 old infected patients across the world,pro-mitigation
800,Cancellation of semester exam 2019-2020 and using our exam fees to Relief fund.,pro-mitigation
801,ALDI USA: make COVID-19 raises permanent!,pro-mitigation
802,Stop treatment of covid-19 patients in Wolfson Cystic Fibrosis unit,anti-mitigation
803,Muhyiddin Please Resign / Muhyddin Letak Jawatan,unclear
804,COVID-19 ERADICATION in Australia,pro-mitigation
805,NHS COVID Medal,pro-mitigation
806,COVID related travel restrictions in Canada,pro-mitigation
